PIT,BENCH,PRIORITY,TOTAL,WASTE,ORE ,GRADE1 ,GRADE2 ,GRADE3 ,GRADE4 ,FLAG1 ,FLAG2 ,FLAG3 ,FLAG4
 12 ,  492 ,  8.22144015412194 ,  2.91198 ,  2.565258 ,  0.346722 ,  60.65 ,  5.48 ,  2.29 ,  39.35 ,  0 ,  1 ,  0 ,  1 
 12 ,  480 ,  10.0902897694993 ,  2.597996 ,  2.20963 ,  0.388366 ,  60.81 ,  5.68 ,  2.2 ,  39.19 ,  0 ,  1 ,  0 ,  1 
 12 ,  468 ,  12.0200590993969 ,  2.308653 ,  1.889863 ,  0.41879 ,  60.75 ,  6.01 ,  2.07 ,  39.25 ,  0 ,  1 ,  0 ,  1 
 12 ,  456 ,  14.4397235231596 ,  1.984253 ,  1.541854 ,  0.442399 ,  60.28 ,  6.4 ,  1.89 ,  39.72 ,  0 ,  1 ,  0 ,  1 
 12 ,  444 ,  17.0777605876676 ,  1.588381 ,  1.160185 ,  0.428196 ,  59.64 ,  6.74 ,  1.83 ,  40.36 ,  0 ,  1 ,  0 ,  1 
 12 ,  432 ,  17.3907042823714 ,  1.269647 ,  0.913731 ,  0.355916 ,  58.47 ,  6.86 ,  1.75 ,  41.53 ,  0 ,  1 ,  0 ,  1 
 12 ,  420 ,  16.1882227216607 ,  0.924149 ,  0.679531 ,  0.244618 ,  57.38 ,  7.01 ,  1.71 ,  42.62 ,  0 ,  1 ,  0 ,  1 
 12 ,  408 ,  13.9244873531678 ,  0.520407 ,  0.403616 ,  0.116791 ,  57.59 ,  6.51 ,  1.71 ,  42.41 ,  0 ,  1 ,  0 ,  1 
 12 ,  396 ,  18.4787090885581 ,  0.262946 ,  0.183058 ,  0.079888 ,  57.53 ,  6.55 ,  1.66 ,  42.47 ,  0 ,  1 ,  0 ,  1 
 12 ,  384 ,  28.9362047155244 ,  0.067352 ,  0.035238 ,  0.032114 ,  58.59 ,  6.33 ,  1.43 ,  41.41 ,  0 ,  1 ,  0 ,  1 
 13 ,  576 ,  1 ,  0.002694 ,  0.002694 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 13 ,  564 ,  1 ,  0.068295 ,  0.068295 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 13 ,  552 ,  1 ,  0.019197 ,  0.019197 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 13 ,  540 ,  1 ,  0.006507 ,  0.006507 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 14 ,  576 ,  1 ,  0.000192 ,  0.000192 ,  0 ,  0 ,  0 ,  0 ,  100 ,  0 ,  1 ,  0 ,  1 
 14 ,  564 ,  1.14074841106977 ,  0.190537 ,  0.190083 ,  0.000454 ,  59.07 ,  5.95 ,  2.13 ,  40.93 ,  0 ,  1 ,  0 ,  1 
 14 ,  552 ,  4.42537409937911 ,  0.821239 ,  0.773398 ,  0.047841 ,  58.8 ,  6.33 ,  2.08 ,  41.2 ,  0 ,  1 ,  0 ,  1 
 14 ,  540 ,  5.37867276869505 ,  1.61968 ,  1.499333 ,  0.120347 ,  58.93 ,  5.68 ,  2.3 ,  41.07 ,  0 ,  1 ,  0 ,  1 
 14 ,  528 ,  5.51408385265413 ,  3.299502 ,  3.046457 ,  0.253045 ,  58.86 ,  5.74 ,  2.2 ,  41.14 ,  0 ,  1 ,  0 ,  1 
 14 ,  516 ,  4.62063315526469 ,  4.916456 ,  4.61526 ,  0.301196 ,  59.1 ,  5.67 ,  2.04 ,  40.9 ,  0 ,  1 ,  0 ,  1 
 14 ,  504 ,  4.17801640087971 ,  4.809742 ,  4.550491 ,  0.259251 ,  58.96 ,  5.93 ,  1.98 ,  41.04 ,  0 ,  1 ,  0 ,  1 
 14 ,  492 ,  4.12037366234147 ,  4.053071 ,  3.837471 ,  0.2156 ,  58.66 ,  6.06 ,  2 ,  41.34 ,  0 ,  1 ,  0 ,  1 
 14 ,  480 ,  5.16590203087497 ,  3.298529 ,  3.063111 ,  0.235418 ,  58.37 ,  5.88 ,  2.02 ,  41.63 ,  0 ,  1 ,  0 ,  1 
